,Unnamed: 0,name,isin,type,dtcreated,language,headline,label,id
19,19,Doro AB,SE0000215493,0,2010-01-05,1,doro senior technology designs continue to storm across the u.s. in 2010,1.0,SE00002154932010-01-05
21,21,Travel24.com AG,DE000A0L1NQ8,0,2010-01-05,1,travel24.com ag: expansion of business scope and internationalization in 2010,1.0,DE000A0L1NQ82010-01-05
22,22,Vestas Wind Systems A/S,DK0010268606,0,2010-01-06,1,vestas receives 80 mw order for germany,0.0,DK00102686062010-01-06
23,23,Century Aluminum Company,IS0000014884,0,2010-01-06,1,date of earliest transaction 01/01/2010,1.0,IS00000148842010-01-06
24,24,Topotarget,DK0060003556,0,2010-01-06,1,belinostat phase ii trial initiated in platinum-resistant ovarian cancer by gog supported by the national cancer institute (us),1.0,DK00600035562010-01-06
25,25,Deutsche Schiffsbank AG,DE0008042870,0,2010-01-06,1,deutsche schiffsbank ag: expected business results of deutsche schiffsbank,1.0,DE00080428702010-01-06
26,26,Continental AG,DE0005439004,0,2010-01-06,1,continental ag: continental resolves capital increase and determines terms of offering,1.0,DE00054390042010-01-06
27,27,PATRIZIA AG,DE000PAT1AG3,0,2010-01-07,1,patrizia immobilien ag: sale of a total of 220 units with a total transaction volume of eur 39.1 million,1.0,DE000PAT1AG32010-01-07
28,28,Finnlines,FI0009003644,0,2010-01-07,1,summary of year 2009 stock exchange releases,1.0,FI00090036442010-01-07
31,31,Salcomp Oyj,FI0009013924,0,2010-01-07,1,salcomp's annual summary 2009,0.0,FI00090139242010-01-07
32,32,Danisco A/S,DK0010207497,0,2010-01-07,1,"danisco a/s, insiders' dealing",1.0,DK00102074972010-01-07
33,33,"United Plantations Berhad, Malaysia",DK0010023258,0,2010-01-07,1,monthly production for december 2009,0.0,DK00100232582010-01-07
34,34,OHB SE,DE0005936124,0,2010-01-07,1,ohb technology ag: ohb selected for the construction of 14 galileo navigation satellites,1.0,DE00059361242010-01-07
35,35,Grindeks,LV0000100659,0,2010-01-07,1,jsc “grindeks” information regarding injections manufacturing plant in slovakia,0.0,LV00001006592010-01-07
37,37,Nordic Shipholding A/S,DK0060083996,0,2010-01-07,1,acquisition of parts of the chemical tanker operations of clipper group a/s,0.0,DK00600839962010-01-07
38,38,Stockmann Oyj Abp,FI0009000251,0,2010-01-08,1,stockmann group's preliminary sales in december 2009,1.0,FI00090002512010-01-08
39,39,Finnair Oyj,FI0009003230,0,2010-01-08,1,finnair's business class demand strengthens in asian traffic,1.0,FI00090032302010-01-08
42,42,Nokian Renkaat,FI0009005318,0,2010-01-08,1,nokian tyres' annual summary 2009,1.0,FI00090053182010-01-08
43,43,eQ Oyj,FI0009009617,0,2010-01-08,1,several exits in amanda capitals private equity potrfolio,1.0,FI00090096172010-01-08
44,44,Panostaja Oyj,FI0009800361,0,2010-01-08,1,proposal concerning the board members to the panostaja annual general meeting to be held on 27th january 2010,1.0,FI00098003612010-01-08
45,45,Danisco A/S,DK0010207497,0,2010-01-08,1,"danisco a/s, insiders' dealing",1.0,DK00102074972010-01-08
46,46,Exel Composites Oyj,FI0009007306,0,2010-01-08,1,exel composites plc's subsidiary merger entered into trade register,1.0,FI00090073062010-01-08
48,48,MOLOGEN AG,DE000A2LQ900,0,2010-01-08,1,mologen ag: successful capital increase completed as planned,1.0,DE000A2LQ9002010-01-08
49,49,Amagerbanken A/S,DK0060037109,0,2010-01-08,1,media coverage of amagerbanken's relationship with per siesbye and loan to purchase capital certificates,0.0,DK00600371092010-01-08
50,50,Revenio Group Oyj,FI0009010912,0,2010-01-08,1,revenio group corporation demerges logistics software unit,0.0,FI00090109122010-01-08
51,51,Orascom Development Holding AG,CH0038285679,0,2010-01-11,1,orascom development holding ag: ,1.0,CH00382856792010-01-11
52,52,Pfleiderer AG,DE0006764749,0,2010-01-11,1,pfleiderer ag: pfleiderer secures long-term financing ,1.0,DE00067647492010-01-11
53,53,CENTROTEC Sustainable AG,DE0005407506,0,2010-01-11,1,centrotec sustainable ag: centrotec publishes forecast for 2010,1.0,DE00054075062010-01-11
54,54,DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2010-01-11,1,dialog semiconductor plc.: dialog semiconductor power management ic selected by lg for android smartphone,0.0,GB00598220062010-01-11
55,55,Biohit Oyj,FI0009005482,0,2010-01-11,1,biohit oyj develops product for elimination of carcinogenic acetaldehyde - the acetium innovation will be launched during spring 2010,1.0,FI00090054822010-01-11
56,56,Neo Industrial Oyj,FI0009800296,0,2010-01-11,1,neomarkka's annual summary 2009,1.0,FI00098002962010-01-11
59,59,HKScan Oyj,FI0009006308,0,2010-01-11,1,appointment in hkscan corporation,0.0,FI00090063082010-01-11
60,60,Danisco A/S,DK0010207497,0,2010-01-11,1,"danisco a/s, insiders' dealing",1.0,DK00102074972010-01-11
62,62,Ditton pievadkežu rupnica,LV0000100212,0,2010-01-11,1,notification on changes in significant holding in the issuer's equity,1.0,LV00001002122010-01-11
63,63,HUGO BOSS AG,DE000A1PHFF7,0,2010-01-11,1,hugo boss ag: experienced hugo boss manager appointed as chief financial officer,0.0,DE000A1PHFF72010-01-11
64,64,Icelandair Group hf.,IS0000013464,0,2010-01-11,1,-traffic data december and the whole year 2009,1.0,IS00000134642010-01-11
65,65,Seamless Distribution AB,SE0000857369,0,2010-01-11,1,"promising start to 2010, 43 msek net sales secured for the year already in the first week",1.0,SE00008573692010-01-11
66,66,Deutsche EuroShop AG,DE0007480204,0,2010-01-11,1,"deutsche euroshop ag: rights issue of up to 6,302,082 new shares with a ratio of 1:6 for the financing of the acquisition of the a10 shopping center approved",1.0,DE00074802042010-01-11
67,67,Stora Enso Oyj,FI0009005961,0,2010-01-12,1,stora enso's annual summary 2009,0.0,FI00090059612010-01-12
68,68,UPM-Kymmene Oyj,FI0009005987,0,2010-01-12,1,upm to implement planned restructuring of its plywood and timber operations in finland and start investments to improve their competitiveness,0.0,FI00090059872010-01-12
69,69,7C Solarparken AG,DE000A11QW68,0,2010-01-12,1,colexon energy ag: colexon energy ag secures working capital financing of 21 meur,1.0,DE000A11QW682010-01-12
70,70,Ixonos,FI0009008007,0,2010-01-12,1,ixonos continues to rationalize its operations in finland,0.0,FI00090080072010-01-12
71,71,NKT Holding A/S,DK0010287663,0,2010-01-12,1,nkt's earnings expectations 2009 revised upwards,1.0,DK00102876632010-01-12
72,72,Powerflute Oyj,FI0009015291,0,2010-01-12,1,grant of options,1.0,FI00090152912010-01-12
73,73,SÜSS MicroTec SE,DE000A1K0235,0,2010-01-13,1,süss microtec ag: contract negotiations for the purchase of hamatech ape gmbh & co. kg successfully concluded,1.0,DE000A1K02352010-01-13
74,74,Singulus Technologies AG,DE000A1681X5,0,2010-01-13,1," singulus technologies ag sells hamatech ape, sternenfels",1.0,DE000A1681X52010-01-13
77,77,Martela Oyj,FI0009900385,0,2010-01-13,1,martela corporation's annual summary of stock exchange releases,1.0,FI00099003852010-01-13
78,78,DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2010-01-13,1,dialog semiconductor plc.: dialog semiconductor achieves substantial year on year revenue growth for 2009,1.0,GB00598220062010-01-13
79,79,Monberg & Thorsen A/S,DK0010224310,0,2010-01-13,1,dyrup acquires polish paint manufacturer - malfarb sp.z.o.o.,0.0,DK00102243102010-01-13
80,80,Tecnotree Oyj,FI0009010227,0,2010-01-13,1,tecnotree's annual summary 2009,0.0,FI00090102272010-01-13
81,81,Cimber Sterling Group,DK0060196848,0,2010-01-13,1,announcement no. 23/2010 - new aircraft on way for cimber sterling,0.0,DK00601968482010-01-13
83,83,CeoTronics AG,DE0005407407,0,2010-01-13,1,ceotronics ag: consolidated interim report for h1 2009/2010,1.0,DE00054074072010-01-13
84,84,Københavns Lufthavne A/S,DK0010201102,0,2010-01-13,1,traffic statistics december 2009,1.0,DK00102011022010-01-13
85,85,SRV Yhtiöt Oyj,FI0009015309,0,2010-01-14,1,srv will  build spa hotel holiday club saimaa in lappeenranta,1.0,FI00090153092010-01-14
86,86,Latvijas kugnieciba,LV0000101103,0,2010-01-14,1,ther comment of latvian shipping company daughter company sia lasco investment,1.0,LV00001011032010-01-14
88,88,SAP SE,DE0007164600,0,2010-01-14,1,sap ag: sap announces better-than-expected 2009 preliminary results,0.0,DE00071646002010-01-14
89,89,Stockmann Oyj Abp,FI0009000251,0,2010-01-14,1,stockmann's annual summary 2009,1.0,FI00090002512010-01-14
90,90,A.P. MÃ¸ller - MÃ¦rsk A/S,DK0010244508,0,2010-01-14,1,announcement of managerial staffs etc. trading in accordance with the danish securities trading act section 28(a).,1.0,DK00102445082010-01-14
92,92,BankNordik P/F,FO0000000088,0,2010-01-14,1,legal filing regarding the annual general meeting,1.0,FO00000000882010-01-14
93,93,The Fantastic Company AG,CH0108753523,0,2010-01-15,1,corporate equity partners ag: stock exchange implementation of capital reorganisation,1.0,CH01087535232010-01-15
94,94,Larox Oyj,FI0009900328,0,2010-01-18,1,write-off of deferred taxes further deepens larox's negative result for the year 2009,0.0,FI00099003282010-01-18
96,96,Veloxis Pharmaceuticals A/S,DK0060048148,0,2010-01-18,1,lifecycle pharma announces senior management hires and refocus of the organization,1.0,DK00600481482010-01-18
97,97,Apetit Oyj,FI0009003503,0,2010-01-18,1,"2009 operating profit, excluding non-recurring items, up on previous year's level",1.0,FI00090035032010-01-18
98,98,Dantherm,DK0010223692,0,2010-01-18,1,dantherm power in new partnership,1.0,DK00102236922010-01-18
99,99,Rella Holding A/S,DK0016033889,0,2010-01-18,1,circulation numbers denmark december 2009,1.0,DK00160338892010-01-18
100,100,Solar A/S,DK0010274844,0,2010-01-18,1,no. 2 business activities in solar suomi oy have now been divested,0.0,DK00102748442010-01-18
101,101,Max Bank A/S,DK0010305903,0,2010-01-18,1,max bank receives individual government guarantee for specific loans,0.0,DK00103059032010-01-18
102,102,Orascom Development Holding AG,CH0038285679,0,2010-01-18,1,orascom development announces that there is a dispute regarding the completion of the procedures for the registration of title for its ownership of the shares of falcon for hotels. ,0.0,CH00382856792010-01-18
103,103,DR Real Estate AG,DE0005577001,0,2010-01-18,1,dr real estate ag: change in supervisory board,1.0,DE00055770012010-01-18
104,104,Sky Deutschland GmbH,DE000SKYD000,0,2010-01-18,1,sky deutschland ag: subscription price at eur 2.25 per new share,1.0,DE000SKYD0002010-01-18
105,105,Chocoladefabriken Lindt & Sprüngli AG,CH0010570759,0,2010-01-19,1,sales report 2009,1.0,CH00105707592010-01-19
106,106,Konecranes Oyj,FI0009005870,0,2010-01-19,1,"konecranes publishes its 2009 financial statements bulletin on february 4, 2010",1.0,FI00090058702010-01-19
107,107,SRV Yhtiöt Oyj,FI0009015309,0,2010-01-19,1,summary of stock exchange releases 2009,1.0,FI00090153092010-01-19
108,108,PKC Group Oyj,FI0009006381,0,2010-01-19,1,pkc starts co-determination negotiations in kempele,1.0,FI00090063812010-01-19
109,109,Technopolis,FI0009006886,0,2010-01-19,1,the outcome of technopolis development services restructuring,1.0,FI00090068862010-01-19
110,110,Tiimari Oyj Abp,FI0009003859,0,2010-01-19,1,tiimari group net sales in december 2009 and full year 2009 (preliminary),0.0,FI00090038592010-01-19
111,111,Seamless Distribution AB,SE0000857369,0,2010-01-19,1,ramping up organization to execute growth plan for 2010,1.0,SE00008573692010-01-19
112,112,Newcap Holding,DK0010212570,0,2010-01-19,1,revised expectations and changes in management,0.0,DK00102125702010-01-19
114,114,Deutsche Börse AG,DE0005810055,0,2010-01-19,1,deutsche börse ag: impairment charge relating to ise and dividend proposal for financial year 2009,1.0,DE00058100552010-01-19
116,116,Tiimari Oyj Abp,FI0009003859,0,2010-01-20,1,tiimari group ceases its non-profitable operations and focuses on growing the company's profitable core operations,1.0,FI00090038592010-01-20
117,117,Alliance Oil Company Ltd,SE0000739286,0,2010-01-20,1,operational update for the fourth quarter of 2009,0.0,SE00007392862010-01-20
118,118,D/S Norden,DK0060083210,0,2010-01-20,1,norden purchases 3 product tankers,0.0,DK00600832102010-01-20
119,119,Ramirent Oyj,FI0009007066,0,2010-01-20,1,ramirent's summary of year 2009 releases,1.0,FI00090070662010-01-20
121,121,Rockwool International A/S,DK0010219153,0,2010-01-20,1,expected result for 2009 for rockwool international a/s,1.0,DK00102191532010-01-20
122,122,Sponda Oyj,FI0009006829,0,2010-01-20,1,proposals on the board composition and remuneration by shareholders' nomination committee of sponda,0.0,FI00090068292010-01-20
123,123,Raute Oyj,FI0009004741,0,2010-01-20,1,raute's annual review 2009,1.0,FI00090047412010-01-20
124,124,Navigator Equity Solutions SE,NL0009538008,0,2010-01-20,1,navigator equity solutions se: management resolves upon public share buyback offer ,1.0,NL00095380082010-01-20
125,125,paragon GmbH & Co. KGaA,DE0005558696,0,2010-01-20,1,paragon restructuring is beginning to take shape,1.0,DE00055586962010-01-20
126,126,BankNordik P/F,FO0000000088,0,2010-01-20,1,updating of ”reconciliation document”,1.0,FO00000000882010-01-20
127,127,IMMOFINANZ AG,AT0000A21KS2,0,2010-01-20,1,immofinanz ag: immofinanz general meeting agrees merger with subsidiary immoeast ag,0.0,AT0000A21KS22010-01-20
128,128,AT&S Austria Technologie & Systemtechnik AG,AT0000969985,0,2010-01-21,1,at&s announces results for third quarter of fy 2009/10 ended 31 december 2009,1.0,AT00009699852010-01-21
129,129,Santa Fe Group,DK0010006329,0,2010-01-21,1,eac revised outlook for 2009 following venezuelan devaluation and adjusted accounting principles - company announcement no.  2/2010,0.0,DK00100063292010-01-21
130,130,North Media A/S,DK0010270347,0,2010-01-21,1,søndagsavisen a-s now expects a positive operating profit for 2009,1.0,DK00102703472010-01-21
131,131,Opus Group AB,SE0001696683,0,2010-01-21,1,the u.s. epa proposes the strictest health standards to date for smog,1.0,SE00016966832010-01-21
132,132,Vestjysk Bank A/S,DK0010304500,0,2010-01-21,1,vestjyskbank's exposure to the agriculture sector,1.0,DK00103045002010-01-21
133,133,Latvijas balzams,LV0000100808,0,2010-01-21,1,publication - nordea,0.0,LV00001008082010-01-21
134,134,Finnair Oyj,FI0009003230,0,2010-01-21,1,interim information according to finnair's renewed segmentation,1.0,FI00090032302010-01-21
135,135,Newcap Holding,DK0010212570,0,2010-01-21,1,termination of sponsorship with parken sport & entertainment a/s,1.0,DK00102125702010-01-21
136,136,Silvano Fashion Group,EE3100001751,0,2010-01-21,1,sfg: changes in the management of russian operations,1.0,EE31000017512010-01-21
137,137,IMMOEAST AG,AT0000642806,0,2010-01-21,1,immoeast ag: immoeast-general meeting agrees to merge with immofinanz ag,0.0,AT00006428062010-01-21
138,138,Eckert & Ziegler Strahlen- und Medizintechnik AG,DE0005659700,0,2010-01-21,1,eckert & ziegler: associate company ibt with record results,0.0,DE00056597002010-01-21
139,139,Atria Oyj,FI0009006548,0,2010-01-22,1,atria baltic records impairment losses for fixed assets and goodwill,0.0,FI00090065482010-01-22
140,140,itelligence AG,DE0007300402,0,2010-01-22,1,itelligence publishes preliminary figures for fy 2009,1.0,DE00073004022010-01-22
141,141,Stora Enso Oyj,FI0009005961,0,2010-01-22,1,stora enso's non-recurring items in fourth quarter 2009,0.0,FI00090059612010-01-22
144,144,Genmab A/S,DK0010272202,0,2010-01-22,1,arzerra(tm) (ofatumumab) receives positive opinion for conditional approval in europe for refractory chronic lymphocytic leukaemia,1.0,DK00102722022010-01-22
146,146,Teleste,FI0009007728,0,2010-01-22,1,the results of teleste's co-determination negotiations,0.0,FI00090077282010-01-22
148,148,Honkarakenne Oyj,FI0009900104,0,2010-01-22,1,honkarakenne oyj's divestment of its holdings in pw-windows oy has been fullfilled,1.0,FI00099001042010-01-22
149,149,Skjern Bank A/S,DK0010295922,0,2010-01-22,1,supplementary information on the 2009 interim report,0.0,DK00102959222010-01-22
150,150,Grønlandsbanken A/S,DK0010230630,0,2010-01-22,1,upward revision og expertations of profit before tax for year 2009,1.0,DK00102306302010-01-22
151,151,Abwicklungsgesellschaft Biogas I AG,DE000SBGS111,0,2010-01-22,1,schmack biogas ag changes name to abwicklungsgesellschaft biogas i ag,1.0,DE000SBGS1112010-01-22
153,153,East Capital Explorer AB,SE0002158568,0,2010-01-25,1,"east capital explorer, east capital financials fund and intrum justitia jointly invest in russian non-performing consumer loan portfolios",0.0,SE00021585682010-01-25
155,155,Latvijas Gaze,LV0000100899,0,2010-01-25,1,investment plans,0.0,LV00001008992010-01-25
157,157,Lassila & Tikanoja Oyj,FI0009010854,0,2010-01-25,1,lassila & tikanoja concluded personnel negotiations,0.0,FI00090108542010-01-25
160,160,Newcap Holding,DK0010212570,0,2010-01-25,1,announcement from capinordic a/s,1.0,DK00102125702010-01-25
161,161,Affecto Oyj,FI0009013312,0,2010-01-25,1,annual information summary 2009,1.0,FI00090133122010-01-25
162,162,QPR Software,FI0009008668,0,2010-01-25,1,qpr software plc´s annual summary of stock exchange bulletins and announcements in 2009,1.0,FI00090086682010-01-25
163,163,Raute Oyj,FI0009004741,0,2010-01-25,1,raute to receive a significant order for a plywood mill in the asia-pacific region,1.0,FI00090047412010-01-25
168,168,Rigas elektromašinbuves rupnica,LV0000101012,0,2010-01-25,1,on the publication made by bns on 22.01.2010,1.0,LV00001010122010-01-25
171,171,Skjern Bank A/S,DK0010295922,0,2010-01-25,1,skjern bank receives individual government guarantee for specific loans,0.0,DK00102959222010-01-25
172,172,Deutsche Beteiligungs AG,DE000A1TNUT7,0,2010-01-25,1,deutsche beteiligungs ag: dividends of 1.00 euros per share recommended / consolidated profit of 19.6 million euros,1.0,DE000A1TNUT72010-01-25
173,173,Travel24.com AG,DE000A0L1NQ8,0,2010-01-25,1,travel24.com ag: change in the executive board,0.0,DE000A0L1NQ82010-01-25
174,174,NEW VALUE AG,CH0010819867,0,2010-01-26,1,information on the 3rd quarter per 31/12/2009: new opportunities for growth - stable nav,0.0,CH00108198672010-01-26
175,175,Loewe Technologies GmbH,DE000A1X3W34,0,2010-01-26,1,loewe ag: preliminary key figures for 2009 - loewe exceeds ebit forecast despite drop in sales,1.0,DE000A1X3W342010-01-26
176,176,Newcap Holding,DK0010212570,0,2010-01-26,1,announcement from capinordic a/s - new supervisory board in capinordic bank a/s,1.0,DK00102125702010-01-26
177,177,ZEAL Network SE,DE000ZEAL241,0,2010-01-26,1,tipp24 expects legal dispute with jackpot insurer - annual forecast adjusted,0.0,DE000ZEAL2412010-01-26
178,178,Fortum,FI0009007132,0,2010-01-26,1,invitation to press and telephone conferences on 3 february 2010,0.0,FI00090071322010-01-26
179,179,D/S Norden,DK0060083210,0,2010-01-26,1,statement of leading employees' and elected employee representatives' transactions with norden shares and related securities,0.0,DK00600832102010-01-26
180,180,Bilfinger SE,DE0005909006,0,2010-01-26,1,sale of bilfinger berger australia,1.0,DE00059090062010-01-26
181,181,Borussia Dortmund GmbH & Co. KGaA,DE0005493092,0,2010-01-26,1,borussia dortmund gmbh & co. kgaa: employment contract of ceo hans-joachim watzke prematurely renewed,0.0,DE00054930922010-01-26
182,182,Componenta Oyj,FI0009010110,0,2010-01-26,1,pii kotilainen proposed for componenta board of directors,1.0,FI00090101102010-01-26
183,183,Valmieras stikla škiedra,LV0000100485,0,2010-01-26,1,jsc 'valmieras stikla šķiedra' commentary on the publication in the newspaper „liesma”,1.0,LV00001004852010-01-26
184,184,Stockmann Oyj Abp,FI0009000251,0,2010-01-26,1,the proposal of the appointments and compensation committee for the composition and remuneration of stockmann's board of directors,0.0,FI00090002512010-01-26
185,185,Silvano Fashion Group,EE3100001751,0,2010-01-26,1,change in substantial shareholding,1.0,EE31000017512010-01-26
186,186,OHB SE,DE0005936124,0,2010-01-26,1,ohb technology ag: ohb-system and esa signing galileo contract,1.0,DE00059361242010-01-26
187,187,CANCOM SE,DE0005419105,0,2010-01-26,1,"cancom it systeme ag: provisional figures for the financial year 2009 - forecasts for ebit and earnings per share topped, revenues and result at record level ",1.0,DE00054191052010-01-26
188,188,PETROTEC AG,DE000PET1111,0,2010-01-26,1,petrotec ag: ad-hoc announcement - legal appointment of supervisory board members,1.0,DE000PET11112010-01-26
189,189,Honkarakenne Oyj,FI0009900104,0,2010-01-27,1,honkarakenne directed issue and sale of the company's own shares,1.0,FI00099001042010-01-27
192,192,BankNordik P/F,FO0000000088,0,2010-01-27,1,adjustment of estimated profit guidance for 2009,1.0,FO00000000882010-01-27
193,193,SÜSS MicroTec SE,DE000A1K0235,0,2010-01-28,1,süss microtec ag sells test systems division,0.0,DE000A1K02352010-01-28
194,194,CENTROTEC Sustainable AG,DE0005407506,0,2010-01-28,1,centrotec sustainable ag: meets 2009 forecasts for revenue and earnings,0.0,DE00054075062010-01-28
195,195,YIT,FI0009800643,0,2010-01-28,1,"publishing of yit corporation's financial statements bulletin 2009 on february 4, 2010",1.0,FI00098006432010-01-28
199,199,DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2010-01-28,1,dialog semiconductor plc.: dialog semiconductor schedules fourth quarter and full year 2009 earnings call for 11 february 2010 ,1.0,GB00598220062010-01-28
200,200,SCHULER AG,DE000A0V9A22,0,2010-01-28,1,schuler ag: schuler slightly more optimistic about 2010 ,1.0,DE000A0V9A222010-01-28
201,201,Tiimari Oyj Abp,FI0009003859,0,2010-01-28,1,tiimari plc annual summary in 2009,1.0,FI00090038592010-01-28
202,202,Latvijas kugnieciba,LV0000101103,0,2010-01-28,1,as latvijas kuģniecība information,1.0,LV00001011032010-01-28
203,203,Sampo,FI0009003305,0,2010-01-28,1,annual review for 2009,0.0,FI00090033052010-01-28
206,206,MAGIX GmbH & Co. KGaA,DE0007220782,0,2010-01-28,1,magix ag: ebit in first quarter 2009/2010 clearly higher than previous year,1.0,DE00072207822010-01-28
207,207,IMW Immobilien SE,DE000A0BVWY6,0,2010-01-28,1,imw immobilien ag: sale of additional properties,1.0,DE000A0BVWY62010-01-28
208,208,Bechtle AG,DE0005158703,0,2010-01-28,1,bechtle ag: 2009 results eclipse market expectation by wide margin,1.0,DE00051587032010-01-28
209,209,Newcap Holding,DK0010212570,0,2010-01-28,1,announcement from capinordic a/s,1.0,DK00102125702010-01-28
210,210,PETROTEC AG,DE000PET1111,0,2010-01-28,1,petrotec ag: ad-hoc announcement: member of the management board bernd wasserrab resigns ,0.0,DE000PET11112010-01-28
211,211,Wirecard AG,DE0007472060,0,2010-01-28,1,"wirecard ag: preliminary results for fiscal 2009, positive outlook for the year 2010",0.0,DE00074720602010-01-28
212,212,HKScan Oyj,FI0009006308,0,2010-01-29,1,hkscan's q4/2009 performance better than anticipated,1.0,FI00090063082010-01-29
213,213,Ventspils nafta,LV0000100816,0,2010-01-29,1,changes in the supervisory council of latrostrans ltd,1.0,LV00001008162010-01-29
214,214,PKC Group Oyj,FI0009006381,0,2010-01-29,1,harri ojala appointed pkc wiring systmes oy's managing director,1.0,FI00090063812010-01-29
215,215,Gigaset AG,DE0005156004,0,2010-01-29,1,arques shows significant restructuring successes at gigaset subsidiary,1.0,DE00051560042010-01-29
216,216,H+H International A/S,DK0015202451,0,2010-01-29,1,announcement on expiry of stabilisation period in relation to the rights issue completed on 23 december 2009,1.0,DK00152024512010-01-29
217,217,Exel Composites Oyj,FI0009007306,0,2010-01-29,1,ef team sports becomes exel floorball brands' license holder,1.0,FI00090073062010-01-29
218,218,Atlantic Petroleum P/F,FO000A0DN9X4,0,2010-01-29,1,oil production update for 2009,0.0,FO000A0DN9X42010-01-29
219,219,PROCON MultiMedia AG,DE0005122006,0,2010-01-29,1,upcoming change in the supervisory board of procon multimedia ag,0.0,DE00051220062010-01-29
220,220,BP p.l.c.,GB0007980591,0,2010-01-29,1,bp p.l.c.: total voting rights,0.0,GB00079805912010-01-29
221,221,Centrosolar Group AG,DE000A1TNS13,0,2010-02-01,1,preliminary results: centrosolar ends 2009 with revenue of eur 309 million,1.0,DE000A1TNS132010-02-01
222,222,Edisun Power Europe AG,CH0024736404,0,2010-02-01,1,edisun power europe ag: electricity production up 36.4% over previous year,0.0,CH00247364042010-02-01
223,223,Newcap Holding,DK0010212570,0,2010-02-01,1,"valuation of assets and liabilities, and revised expectations as to 2009 result",0.0,DK00102125702010-02-01
224,224,Doro AB,SE0000215493,0,2010-02-01,1,doro partners with university to develop avatar facilitating design of easy-to-use consumer products,1.0,SE00002154932010-02-01
226,226,Solar A/S,DK0010274844,0,2010-02-01,1,no. 3 appointment of new ir & communications manager,0.0,DK00102748442010-02-01
227,227,NetBooster Holding A/S,DK0060074144,0,2010-02-01,1,guava a/s - company announcement,0.0,DK00600741442010-02-01
228,228,Mensch und Maschine Software SE,DE0006580806,0,2010-02-01,1,mensch und maschine software se discloses 2009 preliminary figures  ,0.0,DE00065808062010-02-01
229,229,RTX,DK0010267129,0,2010-02-01,1,report on transactions by managerial employees and closely related parties with shares and affiliated securities of rtx telecom,0.0,DK00102671292010-02-01
230,230,Deutsche Wohnen SE,DE000A0HN5C6,0,2010-02-01,1,deutsche wohnen ag: supervisory board of deutsche wohnen ag extends the appointment of chief financial officer helmut ullrich,0.0,DE000A0HN5C62010-02-01
231,231,PKC Group Oyj,FI0009006381,0,2010-02-01,1,pkc group improves its full-ear estimate,1.0,FI00090063812010-02-01
