,Unnamed: 0,name,isin,type,dtcreated,language,headline,label,id
41,50,Deutsche Schiffsbank AG,DE0008042870,0,2010-01-06,1,deutsche schiffsbank ag: expected business results of deutsche schiffsbank,0.0,DE00080428702010-01-06
42,52,Continental AG,DE0005439004,0,2010-01-06,1,continental ag: continental resolves capital increase and determines terms of offering,1.0,DE00054390042010-01-06
43,54,PATRIZIA AG,DE000PAT1AG3,0,2010-01-07,1,patrizia immobilien ag: sale of a total of 220 units with a total transaction volume of eur 39.1 million,1.0,DE000PAT1AG32010-01-07
46,58,Finnlines,FI0009003644,0,2010-01-07,1,summary of year 2009 stock exchange releases,1.0,FI00090036442010-01-07
50,62,Salcomp Oyj,FI0009013924,0,2010-01-07,1,salcomp's annual summary 2009,0.0,FI00090139242010-01-07
51,64,Danisco A/S,DK0010207497,0,2010-01-07,1,"danisco a/s, insiders' dealing",1.0,DK00102074972010-01-07
52,65,"United Plantations Berhad, Malaysia",DK0010023258,0,2010-01-07,1,monthly production for december 2009,0.0,DK00100232582010-01-07
53,66,OHB SE,DE0005936124,0,2010-01-07,1,ohb technology ag: ohb selected for the construction of 14 galileo navigation satellites,1.0,DE00059361242010-01-07
54,68,Grindeks,LV0000100659,0,2010-01-07,1,jsc “grindeks” information regarding injections manufacturing plant in slovakia,0.0,LV00001006592010-01-07
56,70,Nordic Shipholding A/S,DK0060083996,0,2010-01-07,1,acquisition of parts of the chemical tanker operations of clipper group a/s,0.0,DK00600839962010-01-07
57,72,Stockmann Oyj Abp,FI0009000251,0,2010-01-08,1,stockmann group's preliminary sales in december 2009,1.0,FI00090002512010-01-08
58,73,Finnair Oyj,FI0009003230,0,2010-01-08,1,finnair's business class demand strengthens in asian traffic,1.0,FI00090032302010-01-08
61,76,Nokian Renkaat,FI0009005318,0,2010-01-08,1,nokian tyres' annual summary 2009,0.0,FI00090053182010-01-08
62,77,eQ Oyj,FI0009009617,0,2010-01-08,1,several exits in amanda capitals private equity potrfolio,1.0,FI00090096172010-01-08
63,78,Panostaja Oyj,FI0009800361,0,2010-01-08,1,proposal concerning the board members to the panostaja annual general meeting to be held on 27th january 2010,0.0,FI00098003612010-01-08
65,80,Danisco A/S,DK0010207497,0,2010-01-08,1,"danisco a/s, insiders' dealing",0.0,DK00102074972010-01-08
66,81,Exel Composites Oyj,FI0009007306,0,2010-01-08,1,exel composites plc's subsidiary merger entered into trade register,1.0,FI00090073062010-01-08
68,83,MOLOGEN AG,DE000A2LQ900,0,2010-01-08,1,mologen ag: successful capital increase completed as planned,1.0,DE000A2LQ9002010-01-08
69,85,Amagerbanken A/S,DK0060037109,0,2010-01-08,1,media coverage of amagerbanken's relationship with per siesbye and loan to purchase capital certificates,0.0,DK00600371092010-01-08
70,86,Revenio Group Oyj,FI0009010912,0,2010-01-08,1,revenio group corporation demerges logistics software unit,0.0,FI00090109122010-01-08
71,87,Orascom Development Holding AG,CH0038285679,0,2010-01-11,1,orascom development holding ag: ,1.0,CH00382856792010-01-11
72,89,Pfleiderer AG,DE0006764749,0,2010-01-11,1,pfleiderer ag: pfleiderer secures long-term financing ,1.0,DE00067647492010-01-11
73,91,CENTROTEC Sustainable AG,DE0005407506,0,2010-01-11,1,centrotec sustainable ag: centrotec publishes forecast for 2010,1.0,DE00054075062010-01-11
74,93,DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2010-01-11,1,dialog semiconductor plc.: dialog semiconductor power management ic selected by lg for android smartphone,0.0,GB00598220062010-01-11
75,94,Biohit Oyj,FI0009005482,0,2010-01-11,1,biohit oyj develops product for elimination of carcinogenic acetaldehyde - the acetium innovation will be launched during spring 2010,1.0,FI00090054822010-01-11
77,96,Neo Industrial Oyj,FI0009800296,0,2010-01-11,1,neomarkka's annual summary 2009,0.0,FI00098002962010-01-11
83,102,HKScan Oyj,FI0009006308,0,2010-01-11,1,appointment in hkscan corporation,0.0,FI00090063082010-01-11
86,105,Danisco A/S,DK0010207497,0,2010-01-11,1,"danisco a/s, insiders' dealing",0.0,DK00102074972010-01-11
88,107,Ditton pievadkežu rupnica,LV0000100212,0,2010-01-11,1,notification on changes in significant holding in the issuer's equity,0.0,LV00001002122010-01-11
89,108,HUGO BOSS AG,DE000A1PHFF7,0,2010-01-11,1,hugo boss ag: experienced hugo boss manager appointed as chief financial officer,0.0,DE000A1PHFF72010-01-11
90,111,Icelandair Group hf.,IS0000013464,0,2010-01-11,1,-traffic data december and the whole year 2009,1.0,IS00000134642010-01-11
91,112,Seamless Distribution AB,SE0000857369,0,2010-01-11,1,"promising start to 2010, 43 msek net sales secured for the year already in the first week",1.0,SE00008573692010-01-11
92,113,Deutsche EuroShop AG,DE0007480204,0,2010-01-11,1,"deutsche euroshop ag: rights issue of up to 6,302,082 new shares with a ratio of 1:6 for the financing of the acquisition of the a10 shopping center approved",1.0,DE00074802042010-01-11
94,117,Stora Enso Oyj,FI0009005961,0,2010-01-12,1,stora enso's annual summary 2009,0.0,FI00090059612010-01-12
95,118,UPM-Kymmene Oyj,FI0009005987,0,2010-01-12,1,upm to implement planned restructuring of its plywood and timber operations in finland and start investments to improve their competitiveness,0.0,FI00090059872010-01-12
99,122,7C Solarparken AG,DE000A11QW68,0,2010-01-12,1,colexon energy ag: colexon energy ag secures working capital financing of 21 meur,1.0,DE000A11QW682010-01-12
100,124,Ixonos,FI0009008007,0,2010-01-12,1,ixonos continues to rationalize its operations in finland,0.0,FI00090080072010-01-12
102,126,NKT Holding A/S,DK0010287663,0,2010-01-12,1,nkt's earnings expectations 2009 revised upwards,1.0,DK00102876632010-01-12
103,128,Powerflute Oyj,FI0009015291,0,2010-01-12,1,grant of options,1.0,FI00090152912010-01-12
104,129,SÜSS MicroTec SE,DE000A1K0235,0,2010-01-13,1,süss microtec ag: contract negotiations for the purchase of hamatech ape gmbh & co. kg successfully concluded,1.0,DE000A1K02352010-01-13
105,131,Singulus Technologies AG,DE000A1681X5,0,2010-01-13,1," singulus technologies ag sells hamatech ape, sternenfels",1.0,DE000A1681X52010-01-13
108,135,Martela Oyj,FI0009900385,0,2010-01-13,1,martela corporation's annual summary of stock exchange releases,1.0,FI00099003852010-01-13
109,136,DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2010-01-13,1,dialog semiconductor plc.: dialog semiconductor achieves substantial year on year revenue growth for 2009,1.0,GB00598220062010-01-13
110,138,Monberg & Thorsen A/S,DK0010224310,0,2010-01-13,1,dyrup acquires polish paint manufacturer - malfarb sp.z.o.o.,0.0,DK00102243102010-01-13
111,140,Tecnotree Oyj,FI0009010227,0,2010-01-13,1,tecnotree's annual summary 2009,0.0,FI00090102272010-01-13
114,143,CeoTronics AG,DE0005407407,0,2010-01-13,1,ceotronics ag: consolidated interim report for h1 2009/2010,0.0,DE00054074072010-01-13
115,145,Københavns Lufthavne A/S,DK0010201102,0,2010-01-13,1,traffic statistics december 2009,1.0,DK00102011022010-01-13
116,148,SRV Yhtiöt Oyj,FI0009015309,0,2010-01-14,1,srv will  build spa hotel holiday club saimaa in lappeenranta,1.0,FI00090153092010-01-14
117,149,Latvijas kugnieciba,LV0000101103,0,2010-01-14,1,ther comment of latvian shipping company daughter company sia lasco investment,0.0,LV00001011032010-01-14
119,151,SAP SE,DE0007164600,0,2010-01-14,1,sap ag: sap announces better-than-expected 2009 preliminary results,0.0,DE00071646002010-01-14
120,153,Stockmann Oyj Abp,FI0009000251,0,2010-01-14,1,stockmann's annual summary 2009,1.0,FI00090002512010-01-14
121,154,A.P. MÃ¸ller - MÃ¦rsk A/S,DK0010244508,0,2010-01-14,1,announcement of managerial staffs etc. trading in accordance with the danish securities trading act section 28(a).,1.0,DK00102445082010-01-14
123,156,BankNordik P/F,FO0000000088,0,2010-01-14,1,legal filing regarding the annual general meeting,1.0,FO00000000882010-01-14
124,159,The Fantastic Company AG,CH0108753523,0,2010-01-15,1,corporate equity partners ag: stock exchange implementation of capital reorganisation,0.0,CH01087535232010-01-15
135,172,Larox Oyj,FI0009900328,0,2010-01-18,1,write-off of deferred taxes further deepens larox's negative result for the year 2009,0.0,FI00099003282010-01-18
141,178,Veloxis Pharmaceuticals A/S,DK0060048148,0,2010-01-18,1,lifecycle pharma announces senior management hires and refocus of the organization,1.0,DK00600481482010-01-18
143,180,Apetit Oyj,FI0009003503,0,2010-01-18,1,"2009 operating profit, excluding non-recurring items, up on previous year's level",1.0,FI00090035032010-01-18
144,181,Dantherm,DK0010223692,0,2010-01-18,1,dantherm power in new partnership,1.0,DK00102236922010-01-18
146,183,Rella Holding A/S,DK0016033889,0,2010-01-18,1,circulation numbers denmark december 2009,1.0,DK00160338892010-01-18
148,185,Solar A/S,DK0010274844,0,2010-01-18,1,no. 2 business activities in solar suomi oy have now been divested,0.0,DK00102748442010-01-18
149,186,Max Bank A/S,DK0010305903,0,2010-01-18,1,max bank receives individual government guarantee for specific loans,0.0,DK00103059032010-01-18
150,187,Orascom Development Holding AG,CH0038285679,0,2010-01-18,1,orascom development announces that there is a dispute regarding the completion of the procedures for the registration of title for its ownership of the shares of falcon for hotels. ,0.0,CH00382856792010-01-18
151,189,DR Real Estate AG,DE0005577001,0,2010-01-18,1,dr real estate ag: change in supervisory board,1.0,DE00055770012010-01-18
152,191,Sky Deutschland GmbH,DE000SKYD000,0,2010-01-18,1,sky deutschland ag: subscription price at eur 2.25 per new share,1.0,DE000SKYD0002010-01-18
153,193,Chocoladefabriken Lindt & Sprüngli AG,CH0010570759,0,2010-01-19,1,sales report 2009,1.0,CH00105707592010-01-19
154,194,Konecranes Oyj,FI0009005870,0,2010-01-19,1,"konecranes publishes its 2009 financial statements bulletin on february 4, 2010",1.0,FI00090058702010-01-19
155,195,SRV Yhtiöt Oyj,FI0009015309,0,2010-01-19,1,summary of stock exchange releases 2009,1.0,FI00090153092010-01-19
156,196,PKC Group Oyj,FI0009006381,0,2010-01-19,1,pkc starts co-determination negotiations in kempele,1.0,FI00090063812010-01-19
157,197,Technopolis,FI0009006886,0,2010-01-19,1,the outcome of technopolis development services restructuring,1.0,FI00090068862010-01-19
158,198,Tiimari Oyj Abp,FI0009003859,0,2010-01-19,1,tiimari group net sales in december 2009 and full year 2009 (preliminary),0.0,FI00090038592010-01-19
159,199,Seamless Distribution AB,SE0000857369,0,2010-01-19,1,ramping up organization to execute growth plan for 2010,1.0,SE00008573692010-01-19
160,200,Newcap Holding,DK0010212570,0,2010-01-19,1,revised expectations and changes in management,0.0,DK00102125702010-01-19
162,204,Deutsche Börse AG,DE0005810055,0,2010-01-19,1,deutsche börse ag: impairment charge relating to ise and dividend proposal for financial year 2009,1.0,DE00058100552010-01-19
164,208,Tiimari Oyj Abp,FI0009003859,0,2010-01-20,1,tiimari group ceases its non-profitable operations and focuses on growing the company's profitable core operations,1.0,FI00090038592010-01-20
165,209,Alliance Oil Company Ltd,SE0000739286,0,2010-01-20,1,operational update for the fourth quarter of 2009,1.0,SE00007392862010-01-20
166,210,D/S Norden,DK0060083210,0,2010-01-20,1,norden purchases 3 product tankers,1.0,DK00600832102010-01-20
167,211,Ramirent Oyj,FI0009007066,0,2010-01-20,1,ramirent's summary of year 2009 releases,1.0,FI00090070662010-01-20
169,213,Rockwool International A/S,DK0010219153,0,2010-01-20,1,expected result for 2009 for rockwool international a/s,1.0,DK00102191532010-01-20
170,214,Sponda Oyj,FI0009006829,0,2010-01-20,1,proposals on the board composition and remuneration by shareholders' nomination committee of sponda,0.0,FI00090068292010-01-20
171,215,Raute Oyj,FI0009004741,0,2010-01-20,1,raute's annual review 2009,1.0,FI00090047412010-01-20
172,216,Navigator Equity Solutions SE,NL0009538008,0,2010-01-20,1,navigator equity solutions se: management resolves upon public share buyback offer ,1.0,NL00095380082010-01-20
173,219,paragon GmbH & Co. KGaA,DE0005558696,0,2010-01-20,1,paragon restructuring is beginning to take shape,1.0,DE00055586962010-01-20
174,221,BankNordik P/F,FO0000000088,0,2010-01-20,1,updating of ”reconciliation document”,1.0,FO00000000882010-01-20
175,222,IMMOFINANZ AG,AT0000A21KS2,0,2010-01-20,1,immofinanz ag: immofinanz general meeting agrees merger with subsidiary immoeast ag,0.0,AT0000A21KS22010-01-20
176,224,AT&S Austria Technologie & Systemtechnik AG,AT0000969985,0,2010-01-21,1,at&s announces results for third quarter of fy 2009/10 ended 31 december 2009,1.0,AT00009699852010-01-21
177,226,Santa Fe Group,DK0010006329,0,2010-01-21,1,eac revised outlook for 2009 following venezuelan devaluation and adjusted accounting principles - company announcement no.  2/2010,1.0,DK00100063292010-01-21
179,229,North Media A/S,DK0010270347,0,2010-01-21,1,søndagsavisen a-s now expects a positive operating profit for 2009,1.0,DK00102703472010-01-21
181,232,Opus Group AB,SE0001696683,0,2010-01-21,1,the u.s. epa proposes the strictest health standards to date for smog,1.0,SE00016966832010-01-21
187,239,Vestjysk Bank A/S,DK0010304500,0,2010-01-21,1,vestjyskbank's exposure to the agriculture sector,1.0,DK00103045002010-01-21
188,240,Latvijas balzams,LV0000100808,0,2010-01-21,1,publication - nordea,0.0,LV00001008082010-01-21
189,241,Finnair Oyj,FI0009003230,0,2010-01-21,1,interim information according to finnair's renewed segmentation,1.0,FI00090032302010-01-21
190,242,Newcap Holding,DK0010212570,0,2010-01-21,1,termination of sponsorship with parken sport & entertainment a/s,1.0,DK00102125702010-01-21
191,243,Silvano Fashion Group,EE3100001751,0,2010-01-21,1,sfg: changes in the management of russian operations,1.0,EE31000017512010-01-21
192,244,IMMOEAST AG,AT0000642806,0,2010-01-21,1,immoeast ag: immoeast-general meeting agrees to merge with immofinanz ag,0.0,AT00006428062010-01-21
193,246,Eckert & Ziegler Strahlen- und Medizintechnik AG,DE0005659700,0,2010-01-21,1,eckert & ziegler: associate company ibt with record results,0.0,DE00056597002010-01-21
194,248,Atria Oyj,FI0009006548,0,2010-01-22,1,atria baltic records impairment losses for fixed assets and goodwill,0.0,FI00090065482010-01-22
195,249,itelligence AG,DE0007300402,0,2010-01-22,1,itelligence publishes preliminary figures for fy 2009,1.0,DE00073004022010-01-22
196,251,Stora Enso Oyj,FI0009005961,0,2010-01-22,1,stora enso's non-recurring items in fourth quarter 2009,1.0,FI00090059612010-01-22
200,255,Genmab A/S,DK0010272202,0,2010-01-22,1,arzerra(tm) (ofatumumab) receives positive opinion for conditional approval in europe for refractory chronic lymphocytic leukaemia,1.0,DK00102722022010-01-22
204,260,Teleste,FI0009007728,0,2010-01-22,1,the results of teleste's co-determination negotiations,0.0,FI00090077282010-01-22
206,262,Honkarakenne Oyj,FI0009900104,0,2010-01-22,1,honkarakenne oyj's divestment of its holdings in pw-windows oy has been fullfilled,1.0,FI00099001042010-01-22
207,263,Skjern Bank A/S,DK0010295922,0,2010-01-22,1,supplementary information on the 2009 interim report,0.0,DK00102959222010-01-22
208,264,Grønlandsbanken A/S,DK0010230630,0,2010-01-22,1,upward revision og expertations of profit before tax for year 2009,1.0,DK00102306302010-01-22
210,266,Abwicklungsgesellschaft Biogas I AG,DE000SBGS111,0,2010-01-22,1,schmack biogas ag changes name to abwicklungsgesellschaft biogas i ag,1.0,DE000SBGS1112010-01-22
212,271,East Capital Explorer AB,SE0002158568,0,2010-01-25,1,"east capital explorer, east capital financials fund and intrum justitia jointly invest in russian non-performing consumer loan portfolios",0.0,SE00021585682010-01-25
214,273,Latvijas Gaze,LV0000100899,0,2010-01-25,1,investment plans,0.0,LV00001008992010-01-25
216,276,Lassila & Tikanoja Oyj,FI0009010854,0,2010-01-25,1,lassila & tikanoja concluded personnel negotiations,0.0,FI00090108542010-01-25
221,282,Newcap Holding,DK0010212570,0,2010-01-25,1,announcement from capinordic a/s,1.0,DK00102125702010-01-25
222,283,Affecto Oyj,FI0009013312,0,2010-01-25,1,annual information summary 2009,1.0,FI00090133122010-01-25
224,285,QPR Software,FI0009008668,0,2010-01-25,1,qpr software plc´s annual summary of stock exchange bulletins and announcements in 2009,0.0,FI00090086682010-01-25
227,288,Raute Oyj,FI0009004741,0,2010-01-25,1,raute to receive a significant order for a plywood mill in the asia-pacific region,1.0,FI00090047412010-01-25
232,294,Rigas elektromašinbuves rupnica,LV0000101012,0,2010-01-25,1,on the publication made by bns on 22.01.2010,0.0,LV00001010122010-01-25
236,298,Skjern Bank A/S,DK0010295922,0,2010-01-25,1,skjern bank receives individual government guarantee for specific loans,0.0,DK00102959222010-01-25
237,299,Deutsche Beteiligungs AG,DE000A1TNUT7,0,2010-01-25,1,deutsche beteiligungs ag: dividends of 1.00 euros per share recommended / consolidated profit of 19.6 million euros,1.0,DE000A1TNUT72010-01-25
239,303,Travel24.com AG,DE000A0L1NQ8,0,2010-01-25,1,travel24.com ag: change in the executive board,0.0,DE000A0L1NQ82010-01-25
240,305,NEW VALUE AG,CH0010819867,0,2010-01-26,1,information on the 3rd quarter per 31/12/2009: new opportunities for growth - stable nav,0.0,CH00108198672010-01-26
241,307,Loewe Technologies GmbH,DE000A1X3W34,0,2010-01-26,1,loewe ag: preliminary key figures for 2009 - loewe exceeds ebit forecast despite drop in sales,1.0,DE000A1X3W342010-01-26
243,310,Newcap Holding,DK0010212570,0,2010-01-26,1,announcement from capinordic a/s - new supervisory board in capinordic bank a/s,1.0,DK00102125702010-01-26
244,311,ZEAL Network SE,DE000ZEAL241,0,2010-01-26,1,tipp24 expects legal dispute with jackpot insurer - annual forecast adjusted,0.0,DE000ZEAL2412010-01-26
245,313,Fortum,FI0009007132,0,2010-01-26,1,invitation to press and telephone conferences on 3 february 2010,0.0,FI00090071322010-01-26
248,316,D/S Norden,DK0060083210,0,2010-01-26,1,statement of leading employees' and elected employee representatives' transactions with norden shares and related securities,0.0,DK00600832102010-01-26
249,317,Bilfinger SE,DE0005909006,0,2010-01-26,1,sale of bilfinger berger australia,1.0,DE00059090062010-01-26
250,319,Borussia Dortmund GmbH & Co. KGaA,DE0005493092,0,2010-01-26,1,borussia dortmund gmbh & co. kgaa: employment contract of ceo hans-joachim watzke prematurely renewed,0.0,DE00054930922010-01-26
251,321,Componenta Oyj,FI0009010110,0,2010-01-26,1,pii kotilainen proposed for componenta board of directors,1.0,FI00090101102010-01-26
252,322,Valmieras stikla škiedra,LV0000100485,0,2010-01-26,1,jsc 'valmieras stikla šķiedra' commentary on the publication in the newspaper „liesma”,1.0,LV00001004852010-01-26
253,323,Stockmann Oyj Abp,FI0009000251,0,2010-01-26,1,the proposal of the appointments and compensation committee for the composition and remuneration of stockmann's board of directors,0.0,FI00090002512010-01-26
254,324,Silvano Fashion Group,EE3100001751,0,2010-01-26,1,change in substantial shareholding,1.0,EE31000017512010-01-26
256,326,OHB SE,DE0005936124,0,2010-01-26,1,ohb technology ag: ohb-system and esa signing galileo contract,1.0,DE00059361242010-01-26
257,328,CANCOM SE,DE0005419105,0,2010-01-26,1,"cancom it systeme ag: provisional figures for the financial year 2009 - forecasts for ebit and earnings per share topped, revenues and result at record level ",1.0,DE00054191052010-01-26
258,330,PETROTEC AG,DE000PET1111,0,2010-01-26,1,petrotec ag: ad-hoc announcement - legal appointment of supervisory board members,1.0,DE000PET11112010-01-26
259,332,Honkarakenne Oyj,FI0009900104,0,2010-01-27,1,honkarakenne directed issue and sale of the company's own shares,1.0,FI00099001042010-01-27
263,336,BankNordik P/F,FO0000000088,0,2010-01-27,1,adjustment of estimated profit guidance for 2009,1.0,FO00000000882010-01-27
264,337,SÜSS MicroTec SE,DE000A1K0235,0,2010-01-28,1,süss microtec ag sells test systems division,0.0,DE000A1K02352010-01-28
265,340,CENTROTEC Sustainable AG,DE0005407506,0,2010-01-28,1,centrotec sustainable ag: meets 2009 forecasts for revenue and earnings,0.0,DE00054075062010-01-28
266,342,YIT,FI0009800643,0,2010-01-28,1,"publishing of yit corporation's financial statements bulletin 2009 on february 4, 2010",1.0,FI00098006432010-01-28
270,346,DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2010-01-28,1,dialog semiconductor plc.: dialog semiconductor schedules fourth quarter and full year 2009 earnings call for 11 february 2010 ,1.0,GB00598220062010-01-28
271,348,SCHULER AG,DE000A0V9A22,0,2010-01-28,1,schuler ag: schuler slightly more optimistic about 2010 ,0.0,DE000A0V9A222010-01-28
273,351,Tiimari Oyj Abp,FI0009003859,0,2010-01-28,1,tiimari plc annual summary in 2009,1.0,FI00090038592010-01-28
274,352,Latvijas kugnieciba,LV0000101103,0,2010-01-28,1,as latvijas kuģniecība information,1.0,LV00001011032010-01-28
275,353,Sampo,FI0009003305,0,2010-01-28,1,annual review for 2009,1.0,FI00090033052010-01-28
279,357,MAGIX GmbH & Co. KGaA,DE0007220782,0,2010-01-28,1,magix ag: ebit in first quarter 2009/2010 clearly higher than previous year,1.0,DE00072207822010-01-28
282,362,IMW Immobilien SE,DE000A0BVWY6,0,2010-01-28,1,imw immobilien ag: sale of additional properties,1.0,DE000A0BVWY62010-01-28
283,364,Bechtle AG,DE0005158703,0,2010-01-28,1,bechtle ag: 2009 results eclipse market expectation by wide margin,1.0,DE00051587032010-01-28
284,366,Newcap Holding,DK0010212570,0,2010-01-28,1,announcement from capinordic a/s,1.0,DK00102125702010-01-28
285,367,PETROTEC AG,DE000PET1111,0,2010-01-28,1,petrotec ag: ad-hoc announcement: member of the management board bernd wasserrab resigns ,0.0,DE000PET11112010-01-28
286,370,Wirecard AG,DE0007472060,0,2010-01-28,1,"wirecard ag: preliminary results for fiscal 2009, positive outlook for the year 2010",1.0,DE00074720602010-01-28
287,372,HKScan Oyj,FI0009006308,0,2010-01-29,1,hkscan's q4/2009 performance better than anticipated,1.0,FI00090063082010-01-29
288,373,Ventspils nafta,LV0000100816,0,2010-01-29,1,changes in the supervisory council of latrostrans ltd,1.0,LV00001008162010-01-29
289,374,PKC Group Oyj,FI0009006381,0,2010-01-29,1,harri ojala appointed pkc wiring systmes oy's managing director,1.0,FI00090063812010-01-29
290,375,Gigaset AG,DE0005156004,0,2010-01-29,1,arques shows significant restructuring successes at gigaset subsidiary,1.0,DE00051560042010-01-29
291,377,H+H International A/S,DK0015202451,0,2010-01-29,1,announcement on expiry of stabilisation period in relation to the rights issue completed on 23 december 2009,1.0,DK00152024512010-01-29
292,379,Exel Composites Oyj,FI0009007306,0,2010-01-29,1,ef team sports becomes exel floorball brands' license holder,1.0,FI00090073062010-01-29
293,381,Atlantic Petroleum P/F,FO000A0DN9X4,0,2010-01-29,1,oil production update for 2009,1.0,FO000A0DN9X42010-01-29
294,382,PROCON MultiMedia AG,DE0005122006,0,2010-01-29,1,upcoming change in the supervisory board of procon multimedia ag,0.0,DE00051220062010-01-29
295,385,BP p.l.c.,GB0007980591,0,2010-01-29,1,bp p.l.c.: total voting rights,1.0,GB00079805912010-01-29
296,387,Centrosolar Group AG,DE000A1TNS13,0,2010-02-01,1,preliminary results: centrosolar ends 2009 with revenue of eur 309 million,1.0,DE000A1TNS132010-02-01
297,389,Edisun Power Europe AG,CH0024736404,0,2010-02-01,1,edisun power europe ag: electricity production up 36.4% over previous year,0.0,CH00247364042010-02-01
299,392,Newcap Holding,DK0010212570,0,2010-02-01,1,"valuation of assets and liabilities, and revised expectations as to 2009 result",0.0,DK00102125702010-02-01
301,394,Doro AB,SE0000215493,0,2010-02-01,1,doro partners with university to develop avatar facilitating design of easy-to-use consumer products,1.0,SE00002154932010-02-01
304,397,Solar A/S,DK0010274844,0,2010-02-01,1,no. 3 appointment of new ir & communications manager,0.0,DK00102748442010-02-01
305,398,NetBooster Holding A/S,DK0060074144,0,2010-02-01,1,guava a/s - company announcement,0.0,DK00600741442010-02-01
306,400,Mensch und Maschine Software SE,DE0006580806,0,2010-02-01,1,mensch und maschine software se discloses 2009 preliminary figures  ,0.0,DE00065808062010-02-01
309,404,RTX,DK0010267129,0,2010-02-01,1,report on transactions by managerial employees and closely related parties with shares and affiliated securities of rtx telecom,0.0,DK00102671292010-02-01
310,406,Deutsche Wohnen SE,DE000A0HN5C6,0,2010-02-01,1,deutsche wohnen ag: supervisory board of deutsche wohnen ag extends the appointment of chief financial officer helmut ullrich,0.0,DE000A0HN5C62010-02-01
311,408,PKC Group Oyj,FI0009006381,0,2010-02-01,1,pkc group improves its full-ear estimate,1.0,FI00090063812010-02-01
312,409,eQ Oyj,FI0009009617,0,2010-02-01,1,amanda capital's annual summary 2009,0.0,FI00090096172010-02-01
317,415,Finnair Oyj,FI0009003230,0,2010-02-01,1,proposals of the shareholders' nomination committee on the composition and remuneration of the board of directors of finnair plc,1.0,FI00090032302010-02-01
